label,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20
Am,0.3488791286945343,0.9673945307731628,2.350254924010642e-08,0.314933717250824,0.9066551923751831,-0.03092261217534542,0.3003142774105072,0.8468368053436279,-0.06350866705179214,0.30695679783821106,0.7905380129814148,-0.09569240361452103,0.32188040018081665,0.7545246481895447,-0.12845468521118164,0.25751620531082153,0.9216452240943909,-0.07236432284116745,0.29552191495895386,0.8460897207260132,-0.12217990309000015,0.34145936369895935,0.7979575395584106,-0.15189474821090698,0.3702959418296814,0.7743064165115356,-0.16711391508579254,0.29055461287498474,0.973818838596344,-0.07874859869480133,0.34818047285079956,0.8717924356460571,-0.12612934410572052,0.39888644218444824,0.806648313999176,-0.13803830742835999,0.4271829128265381,0.7710816860198975,-0.14212694764137268,0.32963326573371887,1.0063985586166382,-0.08756478875875473,0.39068424701690674,0.9072275757789612,-0.13355804979801178,0.4285948872566223,0.8383046388626099,-0.13300925493240356,0.44797396659851074,0.7977825999259949,-0.12458030879497528,0.36773714423179626,1.0212805271148682,-0.09871568530797958,0.41425132751464844,0.9416581988334656,-0.1245388463139534,0.4336952567100525,0.8816017508506775,-0.1199808344244957,0.4433664083480835,0.8411903381347656,-0.11240027844905853
C,0.40506693720817566,1.0135875940322876,7.31438888124103e-07,0.37027332186698914,0.933529257774353,-0.0038908817805349827,0.3631301820278168,0.8497793078422546,-0.022725900635123253,0.3865474462509155,0.7868781685829163,-0.039860233664512634,0.41759613156318665,0.7486193180084229,-0.05466165021061897,0.33019280433654785,0.837468147277832,-0.06589184701442719,0.3327794075012207,0.7473613619804382,-0.09875462204217911,0.3686794340610504,0.6948297619819641,-0.11221185326576233,0.4014047086238861,0.6795661449432373,-0.11608774214982986,0.35722726583480835,0.8728984594345093,-0.0797961875796318,0.4005483388900757,0.7480796575546265,-0.11741309612989426,0.4447896480560303,0.6924034953117371,-0.12376076728105545,0.4736061692237854,0.6730984449386597,-0.12239262461662292,0.39704322814941406,0.9070786237716675,-0.09137413650751114,0.4770587086677551,0.7999380826950073,-0.11845969408750534,0.5197159647941589,0.7471022605895996,-0.1153685599565506,0.54178786277771,0.7224292755126953,-0.10809943079948425,0.4435791075229645,0.9360458850860596,-0.10236544907093048,0.5013734698295593,0.8504658341407776,-0.10893125832080841,0.5139177441596985,0.8305795192718506,-0.09634272009134293,0.5144052505493164,0.825738251209259,-0.08529935777187347
D,0.3853147029876709,0.9723200798034668,2.6729705382422253e-07,0.36283332109451294,0.897467851638794,-0.019016869366168976,0.3613194525241852,0.8348438143730164,-0.04269080236554146,0.3841637969017029,0.7903869152069092,-0.06817788630723953,0.42093977332115173,0.7675166726112366,-0.09433484077453613,0.28383520245552063,0.8566697239875793,-0.045560598373413086,0.3385409116744995,0.8023211359977722,-0.08965189754962921,0.38798239827156067,0.7756640911102295,-0.11735862493515015,0.4228062033653259,0.7583257555961609,-0.13141734898090363,0.3018932342529297,0.9224839210510254,-0.05859629437327385,0.3533608615398407,0.8673393130302429,-0.10168405622243881,0.4029671251773834,0.8324443697929382,-0.11655580252408981,0.4367471933364868,0.808268129825592,-0.12150273472070694,0.33528947830200195,0.9784441590309143,-0.0741477757692337,0.3987637758255005,0.9195950031280518,-0.11743978410959244,0.4476976990699768,0.8791828155517578,-0.12130559980869293,0.47722744941711426,0.8532524108886719,-0.11503256857395172,0.37693214416503906,1.0164309740066528,-0.09111817926168442,0.4328916668891907,0.9629058241844177,-0.1156880334019661,0.4639296233654022,0.9268129467964172,-0.11227849870920181,0.48249560594558716,0.9021925330162048,-0.10483890771865845
E,0.3615691363811493,0.9819025993347168,8.547045808882103e-07,0.3420206904411316,0.914089560508728,-0.03291945531964302,0.3399116098880768,0.854494035243988,-0.06902911514043808,0.36415866017341614,0.8115180134773254,-0.1002357006072998,0.38687074184417725,0.7830334901809692,-0.1336987465620041,0.30083274841308594,0.9008797407150269,-0.0978875532746315,0.3456171452999115,0.8208857774734497,-0.13859140872955322,0.38156506419181824,0.7732289433479309,-0.16165785491466522,0.4125998318195343,0.7470850944519043,-0.17536543309688568,0.32675325870513916,0.9515573978424072,-0.10184920579195023,0.39727914333343506,0.8412715196609497,-0.1394803822040558,0.4402093291282654,0.787258505821228,-0.14772352576255798,0.46498072147369385,0.7528417706489563,-0.1541474163532257,0.36356258392333984,0.9892057776451111,-0.10585270076990128,0.429370641708374,0.8827563524246216,-0.1397864818572998,0.4617171883583069,0.8248032927513123,-0.13804221153259277,0.48155468702316284,0.7856823801994324,-0.13549843430519104,0.4024601876735687,1.0124621391296387,-0.1116318628191948,0.4476014971733093,0.9435580372810364,-0.13330191373825073,0.4667717516422272,0.8978071212768555,-0.1287931352853775,0.4800017774105072,0.865522563457489,-0.12517127394676208
Em,0.41484224796295166,0.9527354836463928,7.889058224463952e-07,0.372644305229187,0.8896697759628296,-0.02468707785010338,0.3592544198036194,0.8224425911903381,-0.05858270451426506,0.3836841881275177,0.7696681022644043,-0.09084787219762802,0.4218747913837433,0.7288674116134644,-0.12444379180669785,0.32858893275260925,0.8870844841003418,-0.0877254381775856,0.33234018087387085,0.8404374718666077,-0.12987478077411652,0.34206530451774597,0.7973394393920898,-0.1573047786951065,0.3581291437149048,0.7581875920295715,-0.17604213953018188,0.3626830577850342,0.926001787185669,-0.09932699799537659,0.4186018109321594,0.8120280504226685,-0.14989745616912842,0.45650407671928406,0.7380600571632385,-0.16631817817687988,0.4881649613380432,0.6833012104034424,-0.17444418370723724,0.40769705176353455,0.9472155570983887,-0.11030856519937515,0.46955159306526184,0.8331741690635681,-0.15594138205051422,0.5001174807548523,0.764999270439148,-0.15868428349494934,0.521466076374054,0.7142585515975952,-0.1548425853252411,0.4540322721004486,0.9511014223098755,-0.12308678776025772,0.5002702474594116,0.8615813851356506,-0.15375551581382751,0.5184471011161804,0.8050102591514587,-0.15248708426952362,0.5305279493331909,0.7582939863204956,-0.1482280194759369
F,0.4568738341331482,0.9843167662620544,9.187309046865266e-07,0.42098116874694824,0.9174673557281494,-0.025219589471817017,0.42271700501441956,0.8367863297462463,-0.05725879222154617,0.4626902937889099,0.7701048851013184,-0.08334980905056,0.5055237412452698,0.7280659079551697,-0.1086692065000534,0.4026162922382355,0.9085431098937988,-0.09961827099323273,0.45090553164482117,0.7872851490974426,-0.1386917233467102,0.48736849427223206,0.714423418045044,-0.1596578061580658,0.5175352096557617,0.659885585308075,-0.1716739386320114,0.4470241665840149,0.9574387073516846,-0.10452024638652802,0.5115450620651245,0.8271333575248718,-0.15022125840187073,0.5254749059677124,0.78819340467453,-0.15752437710762024,0.5246813893318176,0.7784557342529297,-0.15884855389595032,0.4922701418399811,0.9858399033546448,-0.10749904811382294,0.5516159534454346,0.8725754618644714,-0.13755714893341064,0.5714331269264221,0.8093932271003723,-0.12966792285442352,0.5805831551551819,0.7724940776824951,-0.12090155482292175,0.5328972935676575,0.9959620833396912,-0.1123131662607193,0.5740143060684204,0.9064685106277466,-0.12368392944335938,0.5880031585693359,0.857408881187439,-0.11351589113473892,0.5944951176643372,0.8254076838493347,-0.10569071769714355
G,0.28951144218444824,1.0084549188613892,7.649013582522457e-07,0.29254570603370667,0.9219459295272827,-0.0057922410778701305,0.33644726872444153,0.844906747341156,-0.023735733702778816,0.39935266971588135,0.8135837316513062,-0.04242289438843727,0.45123976469039917,0.8044661283493042,-0.05950494855642319,0.3154458701610565,0.818801760673523,-0.05240955576300621,0.39499935507774353,0.7443709373474121,-0.07679906487464905,0.4400637447834015,0.7269827127456665,-0.08600889891386032,0.47043517231941223,0.7222563028335571,-0.08937361091375351,0.3349798321723938,0.8706574440002441,-0.06422105431556702,0.42686572670936584,0.7847999334335327,-0.08828309178352356,0.48143017292022705,0.755357027053833,-0.09067026525735855,0.516906201839447,0.7419047951698303,-0.09151691943407059,0.35719138383865356,0.9254116415977478,-0.07427171617746353,0.442927747964859,0.8378504514694214,-0.09442371129989624,0.44913047552108765,0.8519635200500488,-0.0826789140701294,0.43875882029533386,0.8754703402519226,-0.07089719921350479,0.38209688663482666,0.9785723686218262,-0.08467289805412292,0.4499231278896332,0.9116012454032898,-0.09356555342674255,0.44722431898117065,0.9116052389144897,-0.08020416647195816,0.431450754404068,0.9260131120681763,-0.06828606128692627
Bm,0.38843077421188354,0.9140801429748535,6.074648695175711e-07,0.3598746061325073,0.8172035217285156,0.0013581585371866822,0.37170127034187317,0.717819333076477,-0.012946895323693752,0.41148918867111206,0.6533957123756409,-0.026605704799294472,0.4535064995288849,0.6209825277328491,-0.039906129240989685,0.35744306445121765,0.7006738185882568,-0.05671174079179764,0.4143103063106537,0.5860157608985901,-0.0801311656832695,0.4526364207267761,0.5344276428222656,-0.08790427446365356,0.4834507405757904,0.49772539734840393,-0.0901021957397461,0.38949838280677795,0.7482303977012634,-0.06784144043922424,0.46357932686805725,0.6354081630706787,-0.08867619186639786,0.4936712682247162,0.5943874716758728,-0.08495613932609558,0.5095941424369812,0.5707313418388367,-0.08038755506277084,0.428781658411026,0.7923862934112549,-0.0759471133351326,0.5024996995925903,0.6876190900802612,-0.08962475508451462,0.5309821963310242,0.6416410803794861,-0.07933847606182098,0.545002818107605,0.6143494844436646,-0.0700431764125824,0.469089150428772,0.8277974724769592,-0.08326394855976105,0.5240603685379028,0.7362342476844788,-0.08709101378917694,0.5454127192497253,0.6941694617271423,-0.07532236725091934,0.5567739009857178,0.6631808876991272,-0.06482075154781342
F#m,0.43756675720214844,1.0997511148452759,9.240298481927312e-07,0.3938906788825989,1.0357329845428467,-0.004298082087188959,0.37638193368911743,0.9533286094665527,-0.022612718865275383,0.39085111021995544,0.8808980584144592,-0.04071076959371567,0.4182569682598114,0.830037534236908,-0.05852217227220535,0.35302889347076416,0.9282388091087341,-0.057093776762485504,0.38733455538749695,0.8003644347190857,-0.08720570057630539,0.41239476203918457,0.7313899993896484,-0.09990251809358597,0.4319781959056854,0.6800640821456909,-0.10490452498197556,0.3895702362060547,0.9562301635742188,-0.07048539072275162,0.40978720784187317,0.809799075126648,-0.10281737893819809,0.4281678795814514,0.7283748388290405,-0.11185458302497864,0.4416784346103668,0.6699123978614807,-0.11408735066652298,0.4339507818222046,0.9808209538459778,-0.08143754303455353,0.4740413725376129,0.8629634380340576,-0.10941656678915024,0.4996020197868347,0.8102386593818665,-0.10876263678073883,0.5124245285987854,0.774206817150116,-0.10195790976285934,0.4792892634868622,1.0021390914916992,-0.09138910472393036,0.5079853534698486,0.9045165777206421,-0.1044512391090393,0.5246198773384094,0.8618898391723633,-0.09600338339805603,0.5344184637069702,0.8313028216362,-0.08597104996442795
Fmaj7,0.37645480036735535,0.9875247478485107,8.422981636613258e-07,0.328738272190094,0.9208203554153442,-0.020001038908958435,0.3086109459400177,0.8504635095596313,-0.0477769561111927,0.32260459661483765,0.7955017685890198,-0.07382456213235855,0.3435939848423004,0.7544664144515991,-0.09921249747276306,0.2982637882232666,0.8866503834724426,-0.08994254469871521,0.3015992045402527,0.79572993516922,-0.1362096071243286,0.3306874632835388,0.7330842018127441,-0.16011008620262146,0.3588341772556305,0.7034822702407837,-0.17224770784378052,0.3292466402053833,0.9245021939277649,-0.10136719793081284,0.35828980803489685,0.8222768902778625,-0.15246853232383728,0.3919515013694763,0.7500690817832947,-0.16563867032527924,0.42005789279937744,0.7133628129959106,-0.16998323798179626,0.3707517683506012,0.9513863921165466,-0.11211168020963669,0.42885082960128784,0.8516690135002136,-0.15626861155033112,0.4635204076766968,0.7802374362945557,-0.16039161384105682,0.48715633153915405,0.7366249561309814,-0.15677298605442047,0.4178634285926819,0.9669408202171326,-0.12397436797618866,0.4678504467010498,0.889646589756012,-0.15374241769313812,0.4912492632865906,0.8313242197036743,-0.15589067339897156,0.5102805495262146,0.7897762060165405,-0.1532544642686844
